date,close
2004-11-18,44.380001
2004-11-19,44.779999
2004-11-22,44.950001
2004-11-23,44.750000
2004-11-24,45.049999
2004-11-26,45.290001
2004-11-29,45.400002
2004-11-30,45.119999
2004-12-01,45.380001
2004-12-02,44.950001
2004-12-03,45.599998
2004-12-06,45.169998
2004-12-07,45.110001
2004-12-08,44.009998
2004-12-09,43.779999
2004-12-10,43.439999
2004-12-13,43.910000
2004-12-14,43.549999
2004-12-15,43.990002
2004-12-16,43.680000
2004-12-17,44.189999
2004-12-20,44.340000
2004-12-21,44.220001
2004-12-22,44.020000
2004-12-23,44.270000
2004-12-27,44.480000
2004-12-28,44.369999
2004-12-29,43.660000
2004-12-30,43.830002
2004-12-31,43.799999
2005-01-03,43.020000
2005-01-04,42.740002
2005-01-05,42.669998
2005-01-06,42.150002
2005-01-07,41.840000
2005-01-10,41.950001
2005-01-11,42.209999
2005-01-12,42.599998
2005-01-13,42.599998
2005-01-14,42.320000
2005-01-18,42.320000
2005-01-19,42.259998
2005-01-20,42.250000
2005-01-21,42.740002
2005-01-24,42.770000
2005-01-25,42.240002
2005-01-26,42.689999
2005-01-27,42.619999
2005-01-28,42.689999
2005-01-31,42.220001
2005-02-01,42.099998
2005-02-02,42.160000
2005-02-03,41.680000
2005-02-04,41.470001
2005-02-07,41.270000
2005-02-08,41.259998
2005-02-09,41.310001
2005-02-10,41.750000
2005-02-11,42.080002
2005-02-14,42.549999
2005-02-15,42.580002
2005-02-16,42.520000
2005-02-17,42.730000
2005-02-18,42.750000
2005-02-22,43.570000
2005-02-23,43.419998
2005-02-24,43.330002
2005-02-25,43.500000
2005-02-28,43.529999
2005-03-01,43.220001
2005-03-02,43.250000
2005-03-03,42.970001
2005-03-04,43.380001
2005-03-07,43.470001
2005-03-08,44.029999
2005-03-09,44.020000
2005-03-10,44.200001
2005-03-11,44.430000
2005-03-14,44.029999
2005-03-15,44.060001
2005-03-16,44.310001
2005-03-17,43.820000
2005-03-18,43.889999
2005-03-21,43.090000
2005-03-22,42.650002
2005-03-23,42.419998
2005-03-24,42.389999
2005-03-28,42.540001
2005-03-29,42.560001
2005-03-30,42.610001
2005-03-31,42.820000
2005-04-01,42.619999
2005-04-04,42.400002
2005-04-05,42.450001
2005-04-06,42.630001
2005-04-07,42.570000
2005-04-08,42.689999
2005-04-11,42.779999
2005-04-12,42.840000
2005-04-13,42.900002
2005-04-14,42.310001
2005-04-15,42.400002
2005-04-18,42.689999
2005-04-19,43.279999
2005-04-20,43.400002
2005-04-21,43.189999
2005-04-22,43.389999
2005-04-25,43.439999
2005-04-26,43.639999
2005-04-27,43.200001
2005-04-28,43.000000
2005-04-29,43.349998
2005-05-02,42.880001
2005-05-03,42.759998
2005-05-04,42.900002
2005-05-05,42.910000
2005-05-06,42.520000
2005-05-09,42.549999
2005-05-10,42.639999
2005-05-11,42.689999
2005-05-12,42.160000
2005-05-13,41.950001
2005-05-16,41.880001
2005-05-17,41.860001
2005-05-18,42.049999
2005-05-19,41.980000
2005-05-20,41.650002
2005-05-23,41.619999
2005-05-24,41.730000
2005-05-25,41.869999
2005-05-26,41.689999
2005-05-27,41.880001
2005-05-31,41.650002
2005-06-01,41.529999
2005-06-02,42.099998
2005-06-03,42.169998
2005-06-06,42.480000
2005-06-07,42.380001
2005-06-08,42.340000
2005-06-09,42.270000
2005-06-10,42.619999
2005-06-13,42.779999
2005-06-14,42.599998
2005-06-15,42.740002
2005-06-16,43.459999
2005-06-17,43.630001
2005-06-20,43.660000
2005-06-21,43.810001
2005-06-22,43.720001
2005-06-23,44.020000
2005-06-24,43.900002
2005-06-27,43.910000
2005-06-28,43.450001
2005-06-29,43.630001
2005-06-30,43.439999
2005-07-01,42.700001
2005-07-05,42.279999
2005-07-06,42.250000
2005-07-07,42.360001
2005-07-08,42.259998
2005-07-11,42.540001
2005-07-12,42.639999
2005-07-13,42.349998
2005-07-14,41.900002
2005-07-15,42.049999
2005-07-18,42.009998
2005-07-19,41.889999
2005-07-20,42.200001
2005-07-21,42.459999
2005-07-22,42.450001
2005-07-25,42.509998
2005-07-26,42.250000
2005-07-27,42.439999
2005-07-28,42.750000
2005-07-29,42.820000
2005-08-01,43.130001
2005-08-02,43.139999
2005-08-03,43.529999
2005-08-04,43.680000
2005-08-05,43.599998
2005-08-08,43.349998
2005-08-09,43.340000
2005-08-10,43.650002
2005-08-11,44.450001
2005-08-12,44.490002
2005-08-15,44.130001
2005-08-16,44.549999
2005-08-17,43.910000
2005-08-18,43.830002
2005-08-19,43.599998
2005-08-22,43.700001
2005-08-23,43.759998
2005-08-24,43.590000
2005-08-25,43.730000
2005-08-26,43.610001
2005-08-29,43.570000
2005-08-30,43.009998
2005-08-31,43.400002
2005-09-01,44.220001
2005-09-02,44.250000
2005-09-06,44.270000
2005-09-07,44.330002
2005-09-08,44.599998
2005-09-09,44.840000
2005-09-12,44.889999
2005-09-13,44.560001
2005-09-14,44.959999
2005-09-15,45.419998
2005-09-16,45.820000
2005-09-19,46.250000
2005-09-20,46.230000
2005-09-21,47.060001
2005-09-22,46.360001
2005-09-23,46.279999
2005-09-26,46.570000
2005-09-27,46.250000
2005-09-28,46.799999
2005-09-29,47.099998
2005-09-30,46.700001
2005-10-03,46.419998
2005-10-04,46.450001
2005-10-05,46.360001
2005-10-06,47.209999
2005-10-07,47.360001
2005-10-10,47.369999
2005-10-11,47.389999
2005-10-12,46.849998
2005-10-13,47.020000
2005-10-14,46.799999
2005-10-17,47.259998
2005-10-18,47.000000
2005-10-19,46.340000
2005-10-20,45.980000
2005-10-21,46.520000
2005-10-24,46.389999
2005-10-25,47.060001
2005-10-26,46.930000
2005-10-27,47.180000
2005-10-28,47.220001
2005-10-31,46.400002
2005-11-01,45.730000
2005-11-02,46.130001
2005-11-03,45.959999
2005-11-04,45.509998
2005-11-07,45.770000
2005-11-08,45.910000
2005-11-09,46.560001
2005-11-10,46.480000
2005-11-11,46.799999
2005-11-14,46.619999
2005-11-15,46.660000
2005-11-16,47.779999
2005-11-17,48.480000
2005-11-18,48.459999
2005-11-21,48.990002
2005-11-22,49.320000
2005-11-23,49.150002
2005-11-25,49.419998
2005-11-28,49.740002
2005-11-29,49.799999
2005-11-30,49.099998
2005-12-01,50.169998
2005-12-02,50.320000
2005-12-05,50.779999
2005-12-06,50.889999
2005-12-07,51.320000
2005-12-08,51.900002
2005-12-09,52.400002
2005-12-12,52.560001
2005-12-13,51.650002
2005-12-14,50.349998
2005-12-15,50.240002
2005-12-16,50.090000
2005-12-19,50.220001
2005-12-20,49.040001
2005-12-21,49.369999
2005-12-22,50.139999
2005-12-23,50.119999
2005-12-27,50.639999
2005-12-28,51.470001
2005-12-29,51.470001
2005-12-30,51.580002
2006-01-03,53.119999
2006-01-04,53.299999
2006-01-05,52.340000
2006-01-06,53.720001
2006-01-09,54.599998
2006-01-10,54.060001
2006-01-11,54.529999
2006-01-12,54.430000
2006-01-13,55.439999
2006-01-17,55.259998
2006-01-18,54.070000
2006-01-19,55.590000
2006-01-20,55.200001
2006-01-23,55.770000
2006-01-24,55.730000
2006-01-25,56.139999
2006-01-26,55.880001
2006-01-27,55.630001
2006-01-30,56.680000
2006-01-31,56.700001
2006-02-01,56.700001
2006-02-02,56.980000
2006-02-03,56.500000
2006-02-06,56.720001
2006-02-07,54.599998
2006-02-08,54.830002
2006-02-09,56.180000
2006-02-10,54.790001
2006-02-13,53.720001
2006-02-14,54.490002
2006-02-15,53.759998
2006-02-16,54.520000
2006-02-17,54.959999
2006-02-21,55.119999
2006-02-22,55.340000
2006-02-23,54.639999
2006-02-24,55.639999
2006-02-27,55.220001
2006-02-28,56.070000
2006-03-01,56.099998
2006-03-02,56.740002
2006-03-03,56.279999
2006-03-06,55.230000
2006-03-07,54.950001
2006-03-08,53.970001
2006-03-09,54.240002
2006-03-10,53.830002
2006-03-13,54.310001
2006-03-14,54.869999
2006-03-15,55.119999
2006-03-16,55.340000
2006-03-17,55.119999
2006-03-20,55.169998
2006-03-21,54.830002
2006-03-22,54.750000
2006-03-23,54.700001
2006-03-24,55.709999
2006-03-27,56.389999
2006-03-28,56.060001
2006-03-29,57.070000
2006-03-30,58.599998
2006-03-31,58.099998
2006-04-03,58.470001
2006-04-04,58.330002
2006-04-05,58.660000
2006-04-06,59.279999
2006-04-07,58.590000
2006-04-10,59.599998
2006-04-11,59.009998
2006-04-12,59.430000
2006-04-13,59.500000
2006-04-17,61.090000
2006-04-18,61.849998
2006-04-19,63.750000
2006-04-20,60.959999
2006-04-21,63.200001
2006-04-24,61.650002
2006-04-25,62.779999
2006-04-26,63.650002
2006-04-27,62.959999
2006-04-28,65.089996
2006-05-01,65.160004
2006-05-02,66.550003
2006-05-03,66.459999
2006-05-04,67.480003
2006-05-05,67.989998
2006-05-08,67.559998
2006-05-09,69.680000
2006-05-10,70.379997
2006-05-11,71.029999
2006-05-12,71.120003
2006-05-15,67.410004
2006-05-16,68.610001
2006-05-17,68.150002
2006-05-18,67.459999
2006-05-19,65.580002
2006-05-22,65.300003
2006-05-23,66.379997
2006-05-24,64.059998
2006-05-25,64.699997
2006-05-26,65.099998
2006-05-30,65.110001
2006-05-31,64.230003
2006-06-01,62.560001
2006-06-02,63.500000
2006-06-05,63.290001
2006-06-06,62.549999
2006-06-07,62.279999
2006-06-08,60.910000
2006-06-09,60.450001
2006-06-12,60.029999
2006-06-13,55.919998
2006-06-14,55.619999
2006-06-15,57.320000
2006-06-16,57.680000
2006-06-19,56.360001
2006-06-20,57.299999
2006-06-21,58.330002
2006-06-22,57.730000
2006-06-23,57.990002
2006-06-26,58.279999
2006-06-27,57.680000
2006-06-28,57.540001
2006-06-29,59.520000
2006-06-30,61.230000
2006-07-03,62.180000
2006-07-05,62.500000
2006-07-06,63.020000
2006-07-07,62.630001
2006-07-10,62.020000
2006-07-11,63.810001
2006-07-12,64.919998
2006-07-13,65.550003
2006-07-14,65.849998
2006-07-17,63.950001
2006-07-18,62.900002
2006-07-19,64.029999
2006-07-20,62.540001
2006-07-21,61.709999
2006-07-24,61.139999
2006-07-25,61.549999
2006-07-26,62.000000
2006-07-27,62.900002
2006-07-28,63.110001
2006-07-31,63.160000
2006-08-01,64.320000
2006-08-02,64.750000
2006-08-03,64.120003
2006-08-04,64.279999
2006-08-07,64.500000
2006-08-08,63.970001
2006-08-09,64.629997
2006-08-10,63.250000
2006-08-11,62.709999
2006-08-14,62.250000
2006-08-15,62.009998
2006-08-16,62.490002
2006-08-17,61.029999
2006-08-18,61.040001
2006-08-21,62.439999
2006-08-22,62.049999
2006-08-23,61.830002
2006-08-24,61.750000
2006-08-25,61.770000
2006-08-28,61.000000
2006-08-29,60.939999
